PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,SEASON_TYPE,GP,MIN,W_PCT,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,OREB_PCT,DREB_PCT,REB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,PLUS_MINUS,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_USG_PCT,ON_NET_RATING,OFF_NET_RATING,NET_SWING,CLUTCH_NET_RATING,CLUTCH_MIN,OBPM,DBPM,BPM,VORP,XEFG,SHOTMAKING_OVER_XEFG,XEFG_FGA,BOX_CREATION,OFFENSIVE_LOAD,O_RAPM,D_RAPM,RAPM,RAPM_POSS,O_IPM,D_IPM,IPM,IPM_POSS,WPA
201939,Stephen Curry,1610612744,GSW,37.0,Playoffs,8,35.1,0.625,22.6,5.3,0.3,5.0,5.1,1.0,0.8,3.4,1.6,0.477,0.4,0.893,0.6,0.636,0.265,0.25,1.52,19.7,13.0,0.007,0.139,0.072,115.7,112.0,3.7,93.24,0.152,3.3,111.7,111.2,0.5,0.271,3.7,-10.2,13.9,77.8,6.316666666666666,5.1,-0.14,4.96,0.5,0.508,0.1013,128.0,9.5,43.4,,,,,,,,,
1630530,Trey Murphy III,1610612740,NOP,25.0,Regular Season,53,35.0,0.264,21.2,5.1,0.9,4.2,3.5,1.1,0.7,1.9,2.1,0.454,0.361,0.887,0.548,0.598,0.229,0.157,1.83,15.4,8.4,0.024,0.117,0.069,109.0,118.7,-9.7,102.03,0.11,-7.2,108.5,117.3,-8.9,0.236,-9.7,-8.6,-1.1,5.1,90.44666666666669,2.26,-1.42,0.84,1.39,0.5473,0.0016,838.0,4.9,33.4,-0.85,-0.83,-1.68,7884.0,-0.26,-0.83,-1.09,7884.0,24.45
1630595,Cade Cunningham,1610612765,DET,23.0,Regular Season,70,35.0,0.543,26.1,6.1,0.8,5.3,9.1,1.0,0.8,4.4,2.8,0.469,0.356,0.846,0.521,0.565,0.323,0.409,2.06,25.0,12.1,0.023,0.147,0.086,115.0,112.2,2.8,101.57,0.152,2.5,113.5,110.5,3.0,0.33,2.8,-0.2,3.0,-11.7,108.97166666666666,4.1,0.26,4.36,3.6,0.5206,0.0018,1453.0,14.6,56.7,1.28,0.79,2.07,10408.0,0.9,0.07,0.97,10408.0,46.49
1626157,Karl-Anthony Towns,1610612752,NYK,29.0,Regular Season,72,35.0,0.639,24.4,12.8,2.9,9.8,3.1,1.0,0.7,2.7,3.5,0.526,0.42,0.829,0.584,0.63,0.265,0.13,1.16,12.4,10.7,0.087,0.284,0.187,119.4,112.7,6.8,99.25,0.161,5.3,117.5,112.2,5.3,0.272,6.8,0.1,6.7,7.6,129.69333333333333,3.49,0.15,3.64,3.57,0.5594,0.025,1215.0,6.2,38.1,2.57,-0.24,2.33,10390.0,2.01,-0.04,1.97,10390.0,36.97
1630559,Austin Reaves,1610612747,LAL,27.0,Regular Season,73,34.9,0.63,20.2,4.5,0.8,3.7,5.8,1.1,0.3,2.4,2.1,0.46,0.377,0.877,0.556,0.616,0.23,0.241,2.38,23.6,9.9,0.025,0.101,0.065,117.1,113.3,3.8,99.86,0.118,2.7,116.3,111.8,4.4,0.237,3.8,-3.3,7.1,2.4,89.45833333333333,2.72,-0.65,2.07,2.67,0.5322,0.028,1030.0,7.9,37.5,2.24,-0.31,1.93,10621.0,2.0,-0.3,1.7,10621.0,34.17
2544,LeBron James,1610612747,LAL,40.0,Regular Season,70,34.9,0.629,24.4,7.8,1.0,6.8,8.2,1.0,0.6,3.7,1.4,0.513,0.376,0.782,0.571,0.604,0.291,0.395,2.21,25.6,11.6,0.031,0.187,0.112,112.7,114.0,-1.3,100.62,0.169,-0.8,113.3,113.0,0.3,0.301,-1.3,4.9,-6.2,11.5,100.58666666666667,5.24,0.66,5.9,4.97,0.5343,0.0379,1268.0,13.1,50.3,-0.1,-1.97,-2.07,10179.0,0.49,-1.26,-0.77,10179.0,42.15
1630217,Desmond Bane,1610612753,ORL,27.0,Playoffs,4,34.8,0.0,15.3,6.8,1.3,5.5,3.3,0.8,0.5,3.8,2.3,0.317,0.219,0.933,0.373,0.438,0.239,0.155,0.87,13.3,15.3,0.032,0.144,0.088,94.4,119.3,-24.8,103.5,0.064,-16.5,92.3,118.0,-25.7,0.246,-24.8,-10.3,-14.5,-25.0,6.925,-4.71,-2.79,-7.49,-0.21,0.5278,-0.1548,63.0,2.9,33.3,,,,,,,,,
1627734,Domantas Sabonis,1610612758,SAC,29.0,Regular Season,70,34.7,0.514,19.1,13.9,3.8,10.1,6.0,0.7,0.4,2.9,3.3,0.59,0.417,0.754,0.627,0.655,0.213,0.251,2.09,25.7,12.3,0.11,0.286,0.199,116.5,113.9,2.6,99.78,0.164,2.1,114.7,112.6,2.1,0.215,2.6,-2.8,5.4,17.5,136.045,3.59,0.84,4.43,3.89,0.5743,0.0523,893.0,8.0,36.2,0.4,0.7,1.1,10148.0,0.9,0.38,1.28,10148.0,33.87
1631114,Jalen Williams,1610612760,OKC,24.0,Playoffs,23,34.6,0.696,21.4,5.5,1.0,4.5,4.8,1.4,0.4,1.8,2.2,0.449,0.304,0.789,0.494,0.544,0.259,0.214,2.71,18.3,6.8,0.029,0.123,0.076,115.2,107.4,7.8,101.03,0.133,4.8,113.9,106.7,7.1,0.263,7.8,12.9,-5.1,6.5,35.748333333333335,2.06,0.34,2.4,0.89,0.5277,-0.0315,394.0,6.2,39.0,,,,,,,,,
1626162,Kelly Oubre Jr.,1610612755,PHI,29.0,Regular Season,60,34.6,0.35,15.1,6.1,1.6,4.5,1.8,1.5,0.5,1.3,3.0,0.47,0.293,0.751,0.518,0.551,0.186,0.079,1.35,10.7,8.0,0.046,0.14,0.091,110.7,116.4,-5.7,98.68,0.084,-4.3,109.5,115.0,-5.6,0.19,-5.7,-7.0,1.3,2.2,105.02666666666669,-2.16,-0.73,-2.89,-0.48,0.5629,-0.0454,741.0,1.8,24.4,-0.22,-0.38,-0.6,8559.0,-0.75,-0.33,-1.08,8559.0,20.73
