PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_IPM,D_IPM,IPM,POSS,SEASON,SEASON_TYPE
1630643,J. Huff,MEM,0.15,0.09,0.24,3286,2024-25,Regular Season
1629162,J. McLaughlin,SAC,0.36,-0.13,0.23,1280,2024-25,Regular Season
203084,H. Barnes,SAS,1.17,-0.95,0.22,9284,2024-25,Regular Season
1629684,G. Williams,CHA,0.09,0.12,0.21,1998,2024-25,Regular Season
1630314,B. Williams,DAL,-0.05,0.25,0.2,2098,2024-25,Regular Season
1627824,G. Yabusele,PHI,1.01,-0.81,0.2,7676,2024-25,Regular Season
203484,K. Caldwell-Pope,ORL,-0.84,1.04,0.2,9180,2024-25,Regular Season
1630205,L. Stevens,MEM,-0.04,0.24,0.2,654,2024-25,Regular Season
1630583,S. Aldama,MEM,0.52,-0.33,0.19,7331,2024-25,Regular Season
1626158,R. Holmes,WAS,0.3,-0.17,0.13,2224,2024-25,Regular Season
1631204,M. Sasser,DET,0.19,-0.06,0.13,3406,2024-25,Regular Season
1641763,J. Phillips,CHI,0.11,0.01,0.12,4812,2024-25,Regular Season
203482,K. Olynyk,TOR,0.05,0.06,0.11,3697,2024-25,Regular Season
1631197,J. Rhoden,TOR,0.1,0.01,0.11,974,2024-25,Regular Season
1629631,D. Hunter,ATL,0.94,-0.84,0.1,7597,2024-25,Regular Season
1641740,J. Clark,MIN,0.14,-0.04,0.1,2186,2024-25,Regular Season
1629057,R. Williams III,POR,-0.78,0.88,0.1,1465,2024-25,Regular Season
1630696,D. Smith,MIA,-0.85,0.94,0.09,1111,2024-25,Regular Season
1629637,J. Hayes,LAL,-1.11,1.19,0.08,4550,2024-25,Regular Season
1630572,S. Mamukelashvili,SAS,0.69,-0.61,0.08,2831,2024-25,Regular Season
1629680,M. Thybulle,POR,-1.03,1.1,0.07,1333,2024-25,Regular Season
1628371,J. Isaac,ORL,-1.05,1.12,0.07,4443,2024-25,Regular Season
1641796,P. Larsson,MIA,-0.11,0.17,0.06,3159,2024-25,Regular Season
201942,D. DeRozan,SAC,1.14,-1.09,0.05,11465,2024-25,Regular Season
1630539,K. Jones,LAC,-0.18,0.23,0.05,1909,2024-25,Regular Season
1631221,C. Gillespie,PHX,0.79,-0.74,0.05,1858,2024-25,Regular Season
1630183,J. McDaniels,MIN,-0.96,1.0,0.04,10693,2024-25,Regular Season
1628988,A. Holiday,HOU,-0.45,0.48,0.03,3364,2024-25,Regular Season
1629622,M. Strus,CLE,0.37,-0.34,0.03,5387,2024-25,Regular Season
1642024,A. Reese,PHI,-0.11,0.13,0.02,939,2024-25,Regular Season
1629011,M. Robinson,NYK,-0.37,0.39,0.02,1150,2024-25,Regular Season
1642269,D. Carter,SAC,-0.44,0.44,0.0,1618,2024-25,Regular Season
203500,S. Adams,HOU,-0.49,0.48,-0.01,3324,2024-25,Regular Season
203935,M. Smart,MEM,-0.77,0.74,-0.03,3028,2024-25,Regular Season
1628404,J. Hart,NYK,0.61,-0.66,-0.05,11835,2024-25,Regular Season
1630591,J. Suggs,ORL,-1.98,1.92,-0.06,4135,2024-25,Regular Season
1642270,D. Clingan,POR,-1.38,1.3,-0.08,5586,2024-25,Regular Season
1631217,M. Diabaté,CHA,-0.6,0.5,-0.1,5025,2024-25,Regular Season
1628396,T. Bradley,IND,-0.41,0.31,-0.1,481,2024-25,Regular Season
1628420,M. Morris,PHX,-0.25,0.14,-0.11,2348,2024-25,Regular Season
203914,G. Harris,ORL,-0.75,0.64,-0.11,2938,2024-25,Regular Season
1631222,J. LaRavia,MEM,0.18,-0.3,-0.12,5829,2024-25,Regular Season
1628379,L. Kennard,MEM,1.32,-1.47,-0.15,6450,2024-25,Regular Season
1626145,T. Jones,PHX,0.37,-0.53,-0.16,8905,2024-25,Regular Season
203471,D. Schröder,BKN,0.04,-0.21,-0.17,8787,2024-25,Regular Season
203897,Z. LaVine,CHI,1.43,-1.6,-0.17,10999,2024-25,Regular Season
1642345,O. Ighodaro,PHX,-1.17,1.0,-0.17,4259,2024-25,Regular Season
1629021,M. Wagner,ORL,-0.46,0.27,-0.19,2368,2024-25,Regular Season
1628370,M. Monk,SAC,0.82,-1.01,-0.19,8666,2024-25,Regular Season
1642285,C. Spencer,MEM,0.27,-0.47,-0.2,1064,2024-25,Regular Season
1629018,G. Trent Jr.,MIL,1.14,-1.36,-0.22,7916,2024-25,Regular Season
1630551,J. Champagnie,WAS,0.15,-0.37,-0.22,5720,2024-25,Regular Season
1631245,Q. Jackson,IND,-0.38,0.15,-0.23,1636,2024-25,Regular Season
202331,P. George,PHI,-1.36,1.13,-0.23,5491,2024-25,Regular Season
1630541,M. Moody,GSW,-0.3,0.06,-0.24,6859,2024-25,Regular Season
1628374,L. Markkanen,UTA,0.36,-0.6,-0.24,6235,2024-25,Regular Season
1628970,M. Bridges,CHA,-0.74,0.5,-0.24,8541,2024-25,Regular Season
203114,K. Middleton,MIL,0.32,-0.56,-0.24,3659,2024-25,Regular Season
1631133,J. Walker,POR,-0.53,0.28,-0.25,3204,2024-25,Regular Season
1642382,B. Carlson,OKC,-0.19,-0.06,-0.25,1044,2024-25,Regular Season
203937,K. Anderson,GSW,-1.38,1.12,-0.26,4154,2024-25,Regular Season
1629001,D. Melton,GSW,-0.61,0.34,-0.27,522,2024-25,Regular Season
1631099,K. Murray,SAC,-0.76,0.49,-0.27,10886,2024-25,Regular Season
1631255,K. Matković,NOP,-0.54,0.27,-0.27,3329,2024-25,Regular Season
1631131,O. Tshiebwe,UTA,-0.07,-0.21,-0.28,1079,2024-25,Regular Season
1630527,B. Boston,NOP,-0.51,0.23,-0.28,4137,2024-25,Regular Season
1631117,W. Kessler,UTA,-0.7,0.42,-0.28,7304,2024-25,Regular Season
1629618,J. Pickett,DEN,-0.29,-0.0,-0.29,2722,2024-25,Regular Season
200768,K. Lowry,PHI,-1.28,0.98,-0.3,2711,2024-25,Regular Season
1628415,D. Brooks,HOU,-0.93,0.62,-0.31,9920,2024-25,Regular Season
1626220,R. O'Neale,PHX,0.17,-0.48,-0.31,7555,2024-25,Regular Season
1630163,L. Ball,CHA,1.25,-1.56,-0.31,6376,2024-25,Regular Season
203944,J. Randle,MIN,0.62,-0.93,-0.31,9118,2024-25,Regular Season
1629013,L. Shamet,NYK,-0.57,0.24,-0.33,3115,2024-25,Regular Season
1629645,K. Porter Jr.,LAC,-1.18,0.83,-0.35,6176,2024-25,Regular Season
202709,C. Joseph,ORL,-0.32,-0.03,-0.35,2485,2024-25,Regular Season
203992,B. Bogdanović,ATL,-0.49,0.13,-0.36,5660,2024-25,Regular Season
1628975,J. Carter,CHI,0.07,-0.44,-0.37,1394,2024-25,Regular Season
1629659,T. Horton-Tucker,CHI,-0.11,-0.26,-0.37,3181,2024-25,Regular Season
1630567,S. Barnes,TOR,-1.28,0.9,-0.38,9030,2024-25,Regular Season
1629020,J. Vanderbilt,LAL,-0.42,0.03,-0.39,2414,2024-25,Regular Season
1642272,J. McCain,PHI,-0.05,-0.34,-0.39,2411,2024-25,Regular Season
1630191,I. Stewart,DET,-1.59,1.17,-0.42,6060,2024-25,Regular Season
1626171,B. Portis,MIL,-0.66,0.24,-0.42,5256,2024-25,Regular Season
1642530,Y. Kawamura,MEM,-0.22,-0.21,-0.43,393,2024-25,Regular Season
1626164,D. Booker,PHX,1.72,-2.15,-0.43,11450,2024-25,Regular Season
1641809,D. Peterson,BOS,-0.37,-0.06,-0.43,730,2024-25,Regular Season
1641989,E. Harkless,UTA,-0.8,0.36,-0.44,572,2024-25,Regular Season
1629750,J. Green,NOP,-0.58,0.11,-0.47,5337,2024-25,Regular Season
1630531,J. Springer,BOS,-1.07,0.6,-0.47,1544,2024-25,Regular Season
1631212,P. Watson,DEN,-1.04,0.57,-0.47,7007,2024-25,Regular Season
1642484,R. Dennis,IND,-0.77,0.28,-0.49,301,2024-25,Regular Season
1642349,A. Mitchell,OKC,-1.41,0.91,-0.5,2480,2024-25,Regular Season
1629008,M. Porter Jr.,DEN,0.72,-1.23,-0.51,10948,2024-25,Regular Season
1642377,J. Wells,MEM,0.03,-0.55,-0.52,8956,2024-25,Regular Season
1630228,J. Kuminga,GSW,-1.05,0.52,-0.53,4779,2024-25,Regular Season
1642277,J. Furphy,IND,-0.89,0.35,-0.54,1611,2024-25,Regular Season
1628418,T. Bryant,IND,-0.27,-0.29,-0.56,4030,2024-25,Regular Season
1642346,R. Dunn,PHX,-0.81,0.24,-0.57,5703,2024-25,Regular Season
1628963,M. Bagley III,WAS,-0.57,-0.02,-0.59,1127,2024-25,Regular Season
1627732,B. Simmons,BKN,-0.27,-0.34,-0.61,4558,2024-25,Regular Season
