PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
203957,D. Exum,DAL,1.04,0.45,1.49,6162,2025-26,Regular Season
1642066,M. Gardner,MIA,0.64,0.85,1.49,1810,2025-26,Regular Season
1630552,J. Johnson,ATL,0.14,1.34,1.48,24720,2025-26,Regular Season
1641706,B. Miller,CHA,0.18,1.3,1.48,21733,2025-26,Regular Season
1630619,M. Cisse,DAL,0.36,1.12,1.48,2284,2025-26,Regular Season
1642396,B. Hinson,UTA,0.5,0.98,1.48,1226,2025-26,Regular Season
203994,J. Nurkić,UTA,-1.31,2.78,1.47,17810,2025-26,Regular Season
1629627,Z. Williamson,NOP,1.56,-0.09,1.47,20801,2025-26,Regular Season
1630611,G. Santos,GSW,1.0,0.43,1.43,9731,2025-26,Regular Season
1631105,J. Duren,DET,1.58,-0.17,1.41,24416,2025-26,Regular Season
1641764,B. Podziemski,GSW,-0.39,1.79,1.4,25085,2025-26,Regular Season
203992,B. Bogdanović,LAC,0.55,0.84,1.39,17583,2025-26,Regular Season
1642363,N. Clifford,SAC,0.54,0.85,1.39,7882,2025-26,Regular Season
1642364,J. Watkins,WAS,0.38,0.98,1.36,4411,2025-26,Regular Season
1630202,P. Pritchard,BOS,2.07,-0.73,1.34,26728,2025-26,Regular Season
1629684,G. Williams,CHA,0.92,0.41,1.33,13760,2025-26,Regular Season
1642938,C. Jones,DEN,0.8,0.51,1.31,360,2025-26,Regular Season
1631230,D. Barlow,PHI,0.09,1.21,1.3,10479,2025-26,Regular Season
1642357,D. Jones Garcia,SAS,0.88,0.42,1.3,299,2025-26,Regular Season
1630256,J. Tate,HOU,-0.28,1.56,1.28,8453,2025-26,Regular Season
1631212,P. Watson,DEN,1.03,0.24,1.27,19692,2025-26,Regular Season
1631214,A. Williams,WAS,0.81,0.44,1.25,513,2025-26,Regular Season
1630180,S. Bey,NOP,2.31,-1.07,1.24,18296,2025-26,Regular Season
1629013,L. Shamet,NYK,-0.28,1.52,1.24,11036,2025-26,Regular Season
1631246,V. Williams Jr.,MEM,-0.0,1.22,1.22,11607,2025-26,Regular Season
1627763,M. Brogdon,WAS,0.86,0.35,1.21,7047,2025-26,Regular Season
1631243,M. Gueye,ATL,0.2,1.01,1.21,7538,2025-26,Regular Season
1629655,D. Gafford,DAL,0.27,0.94,1.21,18141,2025-26,Regular Season
1630183,J. McDaniels,MIN,0.45,0.73,1.18,29067,2025-26,Regular Season
1630541,M. Moody,GSW,-0.54,1.72,1.18,18217,2025-26,Regular Season
