GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,PLUS_MINUS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,OFF_RATING,DEF_RATING,NET_RATING,PACE,POSS,EFG_PCT,TS_PCT,AST_RATIO,AST_PCT,AST_TO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,PIE,SEASON_TYPE,team,team_id,players_list
Lineups,-203488-1627752-1628416-,M. Muscala - T. Prince - T. Dorsey,36,11,25,0.306,185.743333,-9.0,160.0,354.0,0.452,57.0,150.0,0.38,65.0,82.0,0.793,31.0,133.0,164.0,95.0,42.0,29.0,12.0,442.0,108.9,112.8,-3.9,104.14,406,0.532,0.567,17.4,0.594,2.26,0.244,0.797,0.503,0.103,0.471,Regular Season,ATL,1610612737,"[""M. Muscala"", ""T. Prince"", ""T. Dorsey""]"
Lineups,-201163-203115-1626144-,W. Chandler - W. Barton - E. Mudiay,25,16,9,0.64,185.446667,-67.0,145.0,322.0,0.45,40.0,112.0,0.357,69.0,92.0,0.75,36.0,131.0,167.0,85.0,67.0,23.0,34.0,399.0,98.0,112.0,-14.0,106.51,407,0.512,0.55,15.8,0.586,1.27,0.255,0.67,0.466,0.165,0.439,Regular Season,DEN,1610612743,"[""W. Chandler"", ""W. Barton"", ""E. Mudiay""]"
Lineups,-2199-1627737-1628367-,T. Chandler - M. Chriss - J. Jackson,25,11,14,0.44,185.255,-43.0,141.0,325.0,0.434,28.0,90.0,0.311,52.0,75.0,0.693,42.0,143.0,185.0,76.0,70.0,31.0,18.0,362.0,92.8,102.8,-10.0,101.57,390,0.477,0.506,14.6,0.539,1.09,0.289,0.732,0.515,0.179,0.439,Regular Season,PHX,1610612756,"[""T. Chandler"", ""M. Chriss"", ""J. Jackson""]"
Lineups,-201596-201936-202718-,M. Chalmers - T. Evans - C. Parsons,23,9,14,0.391,185.248333,28.0,146.0,316.0,0.462,39.0,107.0,0.364,95.0,118.0,0.805,33.0,136.0,169.0,82.0,51.0,31.0,22.0,426.0,108.4,101.0,7.4,101.96,393,0.524,0.579,15.9,0.562,1.61,0.25,0.736,0.501,0.13,0.533,Regular Season,MEM,1610612763,"[""M. Chalmers"", ""T. Evans"", ""C. Parsons""]"
Lineups,-201949-203079-203482-,J. Johnson - D. Waiters - K. Olynyk,26,13,13,0.5,185.203333,23.0,152.0,327.0,0.465,62.0,152.0,0.408,45.0,57.0,0.789,26.0,121.0,147.0,92.0,54.0,31.0,16.0,411.0,106.8,103.2,3.6,98.62,385,0.56,0.584,17.9,0.605,1.7,0.23,0.73,0.473,0.14,0.512,Regular Season,MIA,1610612748,"[""J. Johnson"", ""D. Waiters"", ""K. Olynyk""]"
Lineups,-1938-2200-1627854-,M. Ginobili - P. Gasol - B. Forbes,45,29,16,0.644,185.19,9.0,153.0,328.0,0.466,27.0,87.0,0.31,82.0,100.0,0.82,34.0,134.0,168.0,99.0,45.0,20.0,14.0,415.0,104.0,103.3,0.7,102.64,399,0.508,0.558,18.2,0.647,2.2,0.29,0.698,0.503,0.113,0.543,Regular Season,SAS,1610612759,"[""M. Ginobili"", ""P. Gasol"", ""B. Forbes""]"
Lineups,-203903-1626204-1627936-,J. Clarkson - L. Nance Jr. - A. Caruso,17,8,9,0.471,185.158333,26.0,166.0,342.0,0.485,31.0,100.0,0.31,50.0,73.0,0.685,41.0,125.0,166.0,94.0,47.0,42.0,15.0,413.0,107.3,100.8,6.5,99.68,385,0.531,0.552,17.8,0.566,2.0,0.282,0.673,0.482,0.122,0.552,Regular Season,LAL,1610612747,"[""J. Clarkson"", ""L. Nance Jr."", ""A. Caruso""]"
Lineups,-2594-201567-201588-,K. Korver - K. Love - G. Hill,15,8,7,0.533,185.146667,23.0,153.0,297.0,0.515,39.0,109.0,0.358,71.0,87.0,0.816,20.0,109.0,129.0,81.0,54.0,31.0,14.0,416.0,112.7,109.8,3.0,94.24,369,0.581,0.62,16.8,0.529,1.5,0.213,0.71,0.471,0.146,0.534,Playoffs,CLE,1610612739,"[""K. Korver"", ""K. Love"", ""G. Hill""]"
Lineups,-201229-202779-1628379-,A. Tolliver - D. Buycks - L. Kennard,18,6,12,0.333,185.106667,-24.0,137.0,319.0,0.429,36.0,98.0,0.367,56.0,71.0,0.789,32.0,134.0,166.0,78.0,50.0,24.0,18.0,366.0,97.6,104.0,-6.4,97.24,375,0.486,0.522,15.7,0.569,1.56,0.235,0.723,0.481,0.133,0.462,Regular Season,DET,1610612765,"[""A. Tolliver"", ""D. Buycks"", ""L. Kennard""]"
Lineups,-101150-202699-1626149-,L. Williams - T. Harris - M. Harrell,27,14,13,0.519,185.046667,24.0,170.0,345.0,0.493,33.0,90.0,0.367,86.0,120.0,0.717,34.0,119.0,153.0,78.0,42.0,32.0,17.0,459.0,113.3,108.5,4.9,104.54,405,0.541,0.577,14.7,0.459,1.86,0.258,0.714,0.481,0.104,0.5,Regular Season,LAC,1610612746,"[""L. Williams"", ""T. Harris"", ""M. Harrell""]"
Lineups,-201147-203903-1626204-,C. Brewer - J. Clarkson - L. Nance Jr.,21,8,13,0.381,184.946667,-22.0,154.0,355.0,0.434,29.0,98.0,0.296,61.0,88.0,0.693,54.0,119.0,173.0,86.0,55.0,41.0,13.0,398.0,100.0,106.3,-6.3,102.91,398,0.475,0.505,15.7,0.558,1.56,0.329,0.687,0.494,0.138,0.457,Regular Season,LAL,1610612747,"[""C. Brewer"", ""J. Clarkson"", ""L. Nance Jr.""]"
Lineups,-203115-203914-1626144-,W. Barton - G. Harris - E. Mudiay,29,16,13,0.552,184.788333,-19.0,146.0,318.0,0.459,50.0,113.0,0.442,69.0,98.0,0.704,40.0,117.0,157.0,95.0,57.0,26.0,26.0,411.0,105.1,108.3,-3.2,102.34,391,0.538,0.569,17.7,0.651,1.67,0.279,0.618,0.456,0.146,0.485,Regular Season,DEN,1610612743,"[""W. Barton"", ""G. Harris"", ""E. Mudiay""]"
Lineups,-2734-200826-202083-,D. Harris - J. Barea - W. Matthews,35,13,22,0.371,184.658333,18.0,165.0,331.0,0.498,57.0,128.0,0.445,55.0,70.0,0.786,21.0,124.0,145.0,103.0,49.0,31.0,17.0,442.0,110.2,105.5,4.8,104.37,401,0.585,0.611,19.4,0.624,2.1,0.175,0.762,0.464,0.122,0.512,Regular Season,DAL,1610612742,"[""D. Harris"", ""J. Barea"", ""W. Matthews""]"
