PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,WPA,WPA_PLAYS,SEASON,SEASON_TYPE
1629021,M. Wagner,ORL,13.52,351,2022-23,Regular Season
1626224,C. Osman,CLE,13.25,314,2022-23,Regular Season
1628975,J. Carter,MIL,13.14,270,2022-23,Regular Season
1628418,T. Bryant,LAL,13.12,323,2022-23,Regular Season
1628470,T. Craig,PHX,12.93,260,2022-23,Regular Season
203939,D. Powell,DAL,12.87,309,2022-23,Regular Season
1631103,M. Branham,SAS,12.84,327,2022-23,Regular Season
1627814,D. Lee,PHX,12.75,294,2022-23,Regular Season
1626168,T. Lyles,SAC,12.73,288,2022-23,Regular Season
1628972,T. Brown Jr.,LAL,12.62,234,2022-23,Regular Season
1630191,I. Stewart,DET,12.55,305,2022-23,Regular Season
203925,J. Harris,BKN,12.28,219,2022-23,Regular Season
1628379,L. Kennard,LAC,12.22,225,2022-23,Regular Season
203506,V. Oladipo,MIA,11.99,219,2022-23,Regular Season
1629234,D. Eubanks,POR,11.89,296,2022-23,Regular Season
1628963,M. Bagley III,DET,11.83,283,2022-23,Regular Season
1630534,O. Agbaji,UTA,11.78,221,2022-23,Regular Season
1629670,J. Nwora,MIL,11.78,262,2022-23,Regular Season
203082,T. Ross,ORL,11.78,227,2022-23,Regular Season
203552,S. Curry,BKN,11.75,259,2022-23,Regular Season
1630631,J. Alvarado,NOP,11.67,266,2022-23,Regular Season
1628977,H. Diallo,DET,11.67,302,2022-23,Regular Season
1628372,D. Smith Jr.,CHA,11.59,264,2022-23,Regular Season
203114,K. Middleton,MIL,11.58,269,2022-23,Regular Season
201567,K. Love,CLE,11.57,245,2022-23,Regular Season
1627752,T. Prince,MIN,11.5,242,2022-23,Regular Season
1630208,N. Richards,CHA,11.39,333,2022-23,Regular Season
1630167,O. Toppin,NYK,11.35,225,2022-23,Regular Season
1630171,I. Okoro,CLE,11.2,253,2022-23,Regular Season
1630544,T. Mann,OKC,11.19,239,2022-23,Regular Season
1626166,C. Payne,PHX,11.13,237,2022-23,Regular Season
1629634,B. Clarke,MEM,11.12,328,2022-23,Regular Season
1630558,D. Mitchell,SAC,10.84,206,2022-23,Regular Season
1628984,D. Graham,NOP,10.76,258,2022-23,Regular Season
1626192,P. Connaughton,MIL,10.69,192,2022-23,Regular Season
1629026,K. Williams,OKC,10.43,196,2022-23,Regular Season
1630173,P. Achiuwa,TOR,10.38,283,2022-23,Regular Season
202709,C. Joseph,DET,10.31,207,2022-23,Regular Season
1630573,S. Hauser,BOS,10.28,192,2022-23,Regular Season
1630598,A. Wiggins,OKC,10.26,245,2022-23,Regular Season
1629011,M. Robinson,NYK,9.99,246,2022-23,Regular Season
1626204,L. Nance Jr.,NOP,9.92,241,2022-23,Regular Season
1629006,J. Okogie,PHX,9.85,300,2022-23,Regular Season
