GROUP_ID,PLAYERS,TEAM_ABBREVIATION,POSS_OFF,POSS_DEF,NET_ACTUAL,NET_EXPECTED,CHEMISTRY,SEASON,SEASON_TYPE
-200794-203999-1627750-1627823-1628470-,P. Millsap - N. Jokić - J. Murray - J. Hernangomez - T. Craig,DEN,156,150,0.1,2.0,-1.9,2018-19,Regular Season
-203084-203992-1626161-1627741-1628368-,H. Barnes - B. Bogdanović - W. Cauley-Stein - B. Hield - D. Fox,SAC,418,414,-2.3,-0.3,-2.0,2018-19,Regular Season
-200746-201158-201942-201988-202722-,L. Aldridge - M. Belinelli - D. DeRozan - P. Mills - D. Bertans,SAS,230,231,-0.0,1.9,-2.0,2018-19,Regular Season
-201152-201954-202711-203506-1627734-,T. Young - D. Collison - B. Bogdanović - V. Oladipo - D. Sabonis,IND,279,276,1.2,3.2,-2.0,2018-19,Regular Season
-2548-203482-204020-1626196-1628389-,D. Wade - K. Olynyk - T. Johnson - J. Richardson - B. Adebayo,MIA,162,156,-2.0,0.2,-2.1,2018-19,Regular Season
-203082-203487-203920-203932-1628411-,T. Ross - M. Carter-Williams - K. Birch - A. Gordon - W. Iwundu,ORL,118,119,0.1,2.2,-2.2,2018-19,Regular Season
-101141-201572-202339-203114-1626192-,E. Ilyasova - B. Lopez - E. Bledsoe - K. Middleton - P. Connaughton,MIL,123,128,6.6,9.0,-2.3,2018-19,Regular Season
-201599-202083-1627827-1628372-1629029-,D. Jordan - W. Matthews - D. Finney-Smith - D. Smith Jr. - L. Dončić,NYK,173,169,-0.5,1.7,-2.3,2018-19,Regular Season
-201143-202330-202681-203935-1628369-,A. Horford - G. Hayward - K. Irving - M. Smart - J. Tatum,BOS,160,146,4.5,6.9,-2.3,2018-19,Regular Season
-203458-1627752-1628381-1628989-1629027-,A. Len - T. Prince - J. Collins - K. Huerter - T. Young,ATL,217,217,-5.0,-2.6,-2.4,2018-19,Regular Season
-2772-203078-203107-203490-1628418-,T. Ariza - B. Beal - T. Satoransky - O. Porter Jr. - T. Bryant,WAS,159,158,-7.6,-5.1,-2.5,2018-19,Regular Season
-201142-201939-202691-203110-1627745-,K. Durant - S. Curry - K. Thompson - D. Green - D. Jones,GSW,304,309,8.5,11.3,-2.7,2018-19,Regular Season
-201577-203897-1627739-1627782-1628374-,R. Lopez - Z. LaVine - K. Dunn - W. Selden - L. Markkanen,CHI,190,182,-6.8,-4.1,-2.7,2018-19,Regular Season
-201143-202694-203935-1626179-1628369-,A. Horford - M. Morris Sr. - M. Smart - T. Rozier - J. Tatum,BOS,192,193,-0.6,2.2,-2.8,2018-19,Regular Season
-201144-201188-202066-203210-203937-,M. Conley - M. Gasol - G. Temple - J. Green - K. Anderson,MEM,239,237,-4.1,-1.2,-2.9,2018-19,Regular Season
-202329-202683-203081-203090-203468-203994-,A. Aminu - E. Freedom - D. Lillard - M. Harkless - C. McCollum - J. Nurkić,POR,127,130,6.0,8.9,-2.9,2018-19,Regular Season
