GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,team,SEASON_TYPE
On/Off Court,1610612738,BOS,Boston Celtics,1629641,"Langford, Romeo",On,18,283.0,-11.4,98.1,108.2,-10.1,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630174,"Nesmith, Aaron",On,46,669.0,-0.5,108.6,109.1,-0.5,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628400,"Ojeleye, Semi",On,56,950.0,0.3,107.6,107.8,-0.2,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,203953,"Parker, Jabari",On,10,138.0,3.1,100.3,99.3,1.1,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630202,"Pritchard, Payton",On,66,1268.0,1.5,111.2,110.6,0.6,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,203935,"Smart, Marcus",On,48,1581.0,2.8,114.2,111.3,2.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628369,"Tatum, Jayson",On,64,2290.0,3.4,114.8,111.8,3.0,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,201952,"Teague, Jeff",On,34,616.0,4.4,113.7,109.5,4.2,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628464,"Theis, Daniel",On,42,1027.0,3.2,113.3,110.9,2.4,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,202684,"Thompson, Tristan",On,54,1287.0,0.9,111.9,110.9,1.0,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629021,"Wagner, Moritz",On,9,61.0,-15.8,81.7,96.9,-15.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,202689,"Walker, Kemba",On,43,1369.0,3.3,114.5,111.4,3.1,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629682,"Waters, Tremont",On,26,238.0,-2.0,106.1,108.0,-2.0,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629057,"Williams III, Robert",On,52,985.0,0.4,112.4,112.0,0.4,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629684,"Williams, Grant",On,63,1138.0,-2.0,107.4,109.3,-1.9,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1627759,"Brown, Jaylen",Off,72,1477.0,1.2,110.3,109.6,0.7,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629035,"Edwards, Carsen",Off,72,3200.0,1.9,113.4,111.7,1.7,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629605,"Fall, Tacko",Off,72,3340.0,1.1,112.7,111.9,0.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,203095,"Fournier, Evan",Off,28,882.0,1.7,111.5,109.6,1.9,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629750,"Green, Javonte",Off,44,1777.0,1.8,114.0,112.7,1.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628436,"Kornet, Luke",Off,28,1100.0,1.4,112.8,111.4,1.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629641,"Langford, Romeo",Off,72,3193.0,2.6,114.0,111.7,2.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630174,"Nesmith, Aaron",Off,72,2807.0,1.9,113.4,111.6,1.7,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628400,"Ojeleye, Semi",Off,72,2526.0,1.9,113.7,112.0,1.6,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,203953,"Parker, Jabari",Off,16,635.0,-1.6,113.1,114.9,-1.8,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1630202,"Pritchard, Payton",Off,72,2208.0,1.4,112.1,110.5,1.6,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,203935,"Smart, Marcus",Off,72,1895.0,0.3,110.6,110.5,0.1,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628369,"Tatum, Jayson",Off,72,1186.0,-2.3,105.9,107.2,-1.3,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,201952,"Teague, Jeff",Off,44,1506.0,-0.9,111.3,112.4,-1.0,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1628464,"Theis, Daniel",Off,44,1095.0,-1.7,110.1,112.0,-2.0,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,202684,"Thompson, Tristan",Off,72,2189.0,1.8,111.9,110.4,1.4,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629021,"Wagner, Moritz",Off,12,520.0,10.0,118.4,108.2,10.2,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,202689,"Walker, Kemba",Off,72,2107.0,0.3,110.6,110.6,0.0,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629682,"Waters, Tremont",Off,72,3238.0,1.7,113.4,111.8,1.6,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629057,"Williams III, Robert",Off,72,2491.0,1.9,111.7,110.1,1.6,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629684,"Williams, Grant",Off,72,2338.0,3.1,113.9,111.5,2.4,Boston Celtics,Regular Season
On/Off Court,1610612738,BOS,Boston Celtics,1629035,"Edwards, Carsen",On,2,5.0,8.9,85.7,78.6,7.1,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629605,"Fall, Tacko",On,1,1.0,51.5,50.0,0.0,50.0,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,203095,"Fournier, Evan",On,5,167.0,-13.3,121.6,136.0,-14.4,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1628436,"Kornet, Luke",On,2,5.0,8.9,85.7,78.6,7.1,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629641,"Langford, Romeo",On,4,109.0,-0.9,117.4,117.2,0.2,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630174,"Nesmith, Aaron",On,5,75.0,-5.1,111.2,117.2,-6.0,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1628400,"Ojeleye, Semi",On,2,12.0,-20.1,80.8,100.0,-19.2,Boston Celtics,Playoffs
