PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
1628420,M. Morris,PHX,0.07,0.79,0.86,2348,2024-25,Regular Season
1628970,M. Bridges,CHA,-0.53,1.36,0.83,8541,2024-25,Regular Season
1630570,T. Watford,BKN,-0.46,1.29,0.83,3680,2024-25,Regular Season
1629011,M. Robinson,NYK,0.24,0.58,0.82,1150,2024-25,Regular Season
1631255,K. Matković,NOP,0.12,0.69,0.81,3329,2024-25,Regular Season
1631127,H. Ingram,SAS,0.41,0.39,0.8,150,2024-25,Regular Season
203084,H. Barnes,SAS,1.4,-0.6,0.8,9284,2024-25,Regular Season
1631204,M. Sasser,DET,0.4,0.39,0.79,3406,2024-25,Regular Season
1631222,J. LaRavia,MEM,0.99,-0.2,0.79,5829,2024-25,Regular Season
1628988,A. Holiday,HOU,-0.43,1.21,0.78,3364,2024-25,Regular Season
1629723,J. Konchar,MEM,-0.01,0.78,0.77,2448,2024-25,Regular Season
1630527,B. Boston,NOP,0.1,0.65,0.75,4137,2024-25,Regular Season
1626158,R. Holmes,WAS,0.82,-0.07,0.75,2224,2024-25,Regular Season
1631157,R. Rollins,MIL,0.37,0.37,0.74,3440,2024-25,Regular Season
1631342,D. Plowden,ATL,-0.12,0.85,0.73,291,2024-25,Regular Season
1631099,K. Murray,SAC,-0.32,1.03,0.71,10886,2024-25,Regular Season
1629622,M. Strus,CLE,0.68,0.02,0.7,5387,2024-25,Regular Season
1629013,L. Shamet,NYK,-0.14,0.81,0.67,3115,2024-25,Regular Season
1630561,D. Duke Jr.,SAS,0.34,0.32,0.66,145,2024-25,Regular Season
201935,J. Harden,LAC,0.69,-0.03,0.66,11539,2024-25,Regular Season
1626167,M. Turner,IND,0.55,0.1,0.65,9038,2024-25,Regular Season
1642346,R. Dunn,PHX,-0.18,0.83,0.65,5703,2024-25,Regular Season
1628370,M. Monk,SAC,1.72,-1.08,0.64,8666,2024-25,Regular Season
1630193,I. Quickley,TOR,0.44,0.2,0.64,3841,2024-25,Regular Season
1630188,J. Smith,CHI,0.17,0.46,0.63,4223,2024-25,Regular Season
1630228,J. Kuminga,GSW,-0.72,1.34,0.62,4779,2024-25,Regular Season
1628975,J. Carter,CHI,1.08,-0.46,0.62,1394,2024-25,Regular Season
1628389,B. Adebayo,MIA,-0.13,0.74,0.61,10727,2024-25,Regular Season
1630543,I. Jackson,IND,0.16,0.45,0.61,362,2024-25,Regular Season
1642270,D. Clingan,POR,-1.04,1.64,0.6,5586,2024-25,Regular Season
1629618,J. Pickett,DEN,0.09,0.51,0.6,2722,2024-25,Regular Season
1631131,O. Tshiebwe,UTA,0.61,-0.02,0.59,1079,2024-25,Regular Season
1631217,M. Diabaté,CHA,-0.09,0.68,0.59,5025,2024-25,Regular Season
1631321,S. Cissoko,SAS,-0.78,1.36,0.58,471,2024-25,Regular Season
1628963,M. Bagley III,WAS,0.07,0.51,0.58,1127,2024-25,Regular Season
1642272,J. McCain,PHI,0.21,0.36,0.57,2411,2024-25,Regular Season
