PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,SEASON_TYPE,GP,MIN,W_PCT,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,OREB_PCT,DREB_PCT,REB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,PLUS_MINUS,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_USG_PCT,ON_NET_RATING,OFF_NET_RATING,NET_SWING,CLUTCH_NET_RATING,CLUTCH_MIN,OBPM,DBPM,BPM,VORP,XEFG,SHOTMAKING_OVER_XEFG,XEFG_FGA,BOX_CREATION,OFFENSIVE_LOAD,O_RAPM,D_RAPM,RAPM,RAPM_POSS,O_RAPM_3YR,D_RAPM_3YR,RAPM_3YR,RAPM_3YR_POSS,WPA
1642884,Vladislav Goldin,1610612748,MIA,25.0,Regular Season,9,2.7,0.556,0.8,1.0,0.3,0.7,0.3,0.0,0.3,0.3,0.6,0.75,0.0,1.0,0.75,0.788,0.101,0.136,1.0,30.0,30.0,0.111,0.214,0.164,105.2,88.9,16.3,121.19,0.105,0.6,103.8,104.2,-0.4,0.108,16.3,2.0,14.3,,,-3.53,4.09,0.56,0.02,0.6709,0.0791,4.0,1.3,16.0,-0.05,0.0,-0.05,109.0,-0.06,-0.02,-0.08,109.0,0.0
1642468,Darius Brown,1610612739,CLE,26.0,Regular Season,1,2.7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,1.0,0.25,100.0,180.0,-80.0,90.0,0.0,-4.0,128.9,180.0,-51.1,0.205,-80.0,2.5,-82.5,,,-15.18,-5.86,-21.04,-0.01,0.4168,-0.4168,1.0,0.0,20.0,0.02,-0.11,-0.09,9.0,0.03,-0.14,-0.11,9.0,
202687,Bismack Biyombo,1610612759,SAS,33.0,Playoffs,9,2.7,0.778,0.7,0.3,0.1,0.2,0.0,0.0,0.2,0.2,0.4,0.429,0.0,0.0,0.429,0.429,0.158,0.0,0.0,0.0,22.2,0.056,0.061,0.059,89.1,89.3,-0.2,107.72,-0.006,-0.1,94.3,100.2,-5.9,0.167,-0.2,11.3,-11.5,,,-7.61,-0.91,-8.52,-0.04,0.5477,-0.1192,7.0,0.2,16.5,,,,,,,,,
1631120,JD Davison,1610612745,HOU,23.0,Playoffs,2,2.6,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.136,0.231,0.0,0.0,0.0,66.7,0.0,0.2,0.143,118.2,100.0,18.2,105.48,0.111,0.5,131.6,111.5,20.1,0.242,18.2,-2.3,20.5,,,-12.85,-2.01,-14.86,-0.02,,,,2.3,27.8,,,,,,,,,
1642404,Chaz Lanier,1610612765,DET,24.0,Playoffs,3,2.5,0.667,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,0.333,0.167,0.333,0.0,25.0,0.0,0.0,0.0,0.0,93.8,62.5,31.3,102.4,0.053,1.7,95.9,72.0,23.9,0.18,31.3,2.0,29.3,,,-3.5,-3.5,-7.0,-0.01,0.4538,-0.1205,3.0,1.1,23.8,,,,,,,,,
1642260,Nikola Topić,1610612760,OKC,20.0,Playoffs,9,2.4,0.778,0.4,0.2,0.0,0.2,0.3,0.2,0.0,0.2,0.1,0.333,0.0,0.0,0.333,0.333,0.143,0.214,1.5,27.3,18.2,0.0,0.111,0.049,79.6,104.3,-24.8,103.64,0.049,-1.0,95.4,106.0,-10.6,0.167,-24.8,7.8,-32.6,,,-7.56,0.06,-7.5,-0.03,0.6064,-0.273,6.0,0.9,21.3,,,,,,,,,
1631123,Jamaree Bouyea,1610612756,PHX,26.0,Playoffs,4,2.4,0.0,1.3,0.8,0.3,0.5,0.3,0.3,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.512,0.25,0.2,0.0,16.7,0.0,0.143,0.222,0.188,100.0,88.2,11.8,88.36,0.22,0.8,106.6,107.1,-0.5,0.258,11.8,-18.9,30.7,,,6.44,2.32,8.75,0.03,0.5308,-0.0308,4.0,2.8,34.1,,,,,,,,,
1626204,Larry Nance Jr.,1610612739,CLE,33.0,Playoffs,2,2.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,100.0,0.0,0.0,0.0,70.0,112.5,-42.5,92.9,-0.105,-1.0,84.1,101.4,-17.2,0.107,-42.5,-3.4,-39.1,,,-12.28,-5.8,-18.08,-0.02,,,,0.0,10.0,,,,,,,,,
1642449,Tolu Smith,1610612765,DET,25.0,Playoffs,3,2.3,0.667,1.3,0.7,0.0,0.7,0.0,0.3,0.0,0.3,0.0,1.0,0.0,0.0,1.0,1.0,0.176,0.0,0.0,0.0,33.3,0.0,0.286,0.143,100.0,68.8,31.3,105.96,0.267,1.3,102.5,79.3,23.2,0.192,31.3,2.1,29.2,,,1.65,6.8,8.45,0.02,0.6491,0.3509,2.0,1.9,21.4,,,,,,,,,
1642917,Max Shulga,1610612738,BOS,23.0,Playoffs,2,2.3,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.75,0.75,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,62.5,62.5,82.29,0.065,2.5,142.9,83.3,59.5,0.222,62.5,2.1,60.4,,,4.12,-1.42,2.7,0.01,0.5399,0.2101,2.0,1.3,25.9,,,,,,,,,
1641747,DaRon Holmes II,1610612743,DEN,23.0,Playoffs,2,2.1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.2,100.0,125.0,-25.0,103.14,0.121,0.0,114.2,126.9,-12.7,0.0,-25.0,-4.6,-20.4,,,-4.68,-0.31,-4.99,-0.0,,,,0.0,0.0,,,,,,,,,
1629618,Jalen Pickett,1610612743,DEN,26.0,Playoffs,2,2.1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.568,0.083,0.333,0.0,50.0,0.0,0.0,0.0,0.0,100.0,125.0,-25.0,103.14,0.061,0.0,114.2,126.9,-12.7,0.1,-25.0,-4.6,-20.4,,,2.23,-0.61,1.62,0.0,,,,1.6,17.5,,,,,,,,,
