PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_SPM,D_SPM,SPM,SEASON,O_SPM_LOSO,D_SPM_LOSO,SPM_LOSO,POSS_BASE,SEASON_TYPE
1628964,Mo Bamba,ORL,-0.45,0.63,0.18,2021-22,-0.43,0.63,0.2,3811,Regular Season
1628379,Luke Kennard,LAC,0.63,-0.46,0.17,2021-22,0.61,-0.47,0.14,3946,Regular Season
1627826,Ivica Zubac,LAC,0.02,0.12,0.14,2021-22,0.01,0.13,0.14,3788,Regular Season
1628960,Grayson Allen,MIL,0.31,-0.17,0.14,2021-22,0.31,-0.16,0.15,3801,Regular Season
1630162,Anthony Edwards,MIN,0.32,-0.19,0.13,2021-22,0.28,-0.2,0.08,5209,Regular Season
1629599,Amir Coffey,LAC,0.25,-0.12,0.13,2021-22,0.26,-0.1,0.16,3260,Regular Season
1630193,Immanuel Quickley,NYK,0.5,-0.38,0.12,2021-22,0.51,-0.41,0.1,3600,Regular Season
1626168,Trey Lyles,SAC,0.2,-0.08,0.12,2021-22,0.22,-0.05,0.17,3216,Regular Season
1628977,Hamidou Diallo,DET,-0.41,0.52,0.11,2021-22,-0.43,0.56,0.13,2666,Regular Season
200746,LaMarcus Aldridge,BKN,0.17,-0.06,0.11,2021-22,0.13,-0.04,0.09,2212,Regular Season
202357,Nemanja Bjelica,GSW,-0.2,0.3,0.1,2021-22,-0.19,0.26,0.07,2352,Regular Season
2546,Carmelo Anthony,LAL,0.15,-0.05,0.1,2021-22,0.13,-0.02,0.11,3828,Regular Season
1630201,Malachi Flynn,TOR,-0.24,0.34,0.1,2021-22,-0.2,0.35,0.15,1119,Regular Season
1626224,Cedi Osman,CLE,0.33,-0.24,0.09,2021-22,0.31,-0.23,0.08,2998,Regular Season
1629203,Jemerrio Jones,LAL,0.24,-0.15,0.09,2021-22,0.09,-0.07,0.02,30,Regular Season
1629023,P.J. Washington,CHA,-0.11,0.2,0.09,2021-22,-0.12,0.2,0.08,3724,Regular Season
202328,Greg Monroe,MIN,-0.13,0.21,0.08,2021-22,-0.18,0.25,0.07,410,Regular Season
1628418,Thomas Bryant,WAS,-0.14,0.22,0.08,2021-22,-0.13,0.23,0.1,890,Regular Season
202330,Gordon Hayward,CHA,0.13,-0.06,0.07,2021-22,0.14,-0.05,0.09,3364,Regular Season
1630529,Herbert Jones,NOP,-0.49,0.55,0.06,2021-22,-0.53,0.61,0.08,4806,Regular Season
1629002,Chimezie Metu,SAC,-0.8,0.85,0.05,2021-22,-0.76,0.85,0.09,2692,Regular Season
1627752,Taurean Prince,MIN,-0.19,0.22,0.03,2021-22,-0.2,0.24,0.04,2551,Regular Season
1630233,Nathan Knight,MIN,0.36,-0.33,0.03,2021-22,0.32,-0.29,0.03,566,Regular Season
1628372,Dennis Smith Jr.,POR,-0.68,0.71,0.03,2021-22,-0.68,0.72,0.04,1332,Regular Season
1629640,Keldon Johnson,SAS,0.27,-0.25,0.02,2021-22,0.26,-0.24,0.02,5078,Regular Season
1629234,Drew Eubanks,POR,-0.15,0.16,0.01,2021-22,-0.14,0.17,0.03,2614,Regular Season
1629675,Naz Reid,MIN,-0.25,0.26,0.01,2021-22,-0.27,0.28,0.01,2609,Regular Season
1628370,Malik Monk,LAL,0.33,-0.32,0.01,2021-22,0.31,-0.34,-0.03,4520,Regular Season
202689,Kemba Walker,NYK,0.0,-0.0,0.0,2021-22,0.07,-0.02,0.05,1958,Regular Season
203552,Seth Curry,BKN,0.47,-0.47,0.0,2021-22,0.45,-0.49,-0.04,4312,Regular Season
202326,DeMarcus Cousins,DEN,-0.53,0.52,-0.01,2021-22,-0.5,0.48,-0.02,1485,Regular Season
1627761,DeAndre' Bembry,MIL,-0.54,0.52,-0.02,2021-22,-0.57,0.54,-0.03,2146,Regular Season
202696,Nikola Vučević,CHI,-0.53,0.51,-0.02,2021-22,-0.5,0.46,-0.04,4988,Regular Season
1626172,Kevon Looney,GSW,-0.18,0.15,-0.03,2021-22,-0.19,0.16,-0.03,3596,Regular Season
1626195,Willy Hernangomez,NOP,0.56,-0.59,-0.03,2021-22,0.5,-0.56,-0.06,1772,Regular Season
203500,Steven Adams,MEM,-0.11,0.08,-0.03,2021-22,-0.1,0.11,0.01,4176,Regular Season
203486,Mason Plumlee,CHA,-0.42,0.39,-0.03,2021-22,-0.4,0.38,-0.02,3768,Regular Season
1629667,Jalen McDaniels,CHA,-0.21,0.17,-0.04,2021-22,-0.2,0.18,-0.02,1884,Regular Season
1629656,Quentin Grimes,NYK,-0.06,0.02,-0.04,2021-22,-0.08,0.03,-0.05,1586,Regular Season
203526,Raul Neto,WAS,-0.21,0.16,-0.05,2021-22,-0.18,0.15,-0.03,2800,Regular Season
1629056,Terence Davis,SAC,-0.15,0.09,-0.06,2021-22,-0.18,0.07,-0.11,1146,Regular Season
1626158,Richaun Holmes,SAC,-0.04,-0.02,-0.06,2021-22,-0.07,-0.02,-0.09,2269,Regular Season
1627827,Dorian Finney-Smith,DAL,0.05,-0.12,-0.07,2021-22,0.02,-0.1,-0.08,5252,Regular Season
1629026,Kenrich Williams,OKC,-0.27,0.2,-0.07,2021-22,-0.26,0.22,-0.04,2198,Regular Season
1626171,Bobby Portis,MIL,-0.04,-0.04,-0.08,2021-22,-0.06,-0.06,-0.12,4254,Regular Season
1628991,Jaren Jackson Jr.,MEM,-0.88,0.8,-0.08,2021-22,-0.87,0.84,-0.03,4504,Regular Season
1629650,Moses Brown,CLE,-0.3,0.21,-0.09,2021-22,-0.33,0.26,-0.07,704,Regular Season
1628365,Markelle Fultz,ORL,-0.42,0.33,-0.09,2021-22,-0.41,0.25,-0.16,770,Regular Season
201565,Derrick Rose,NYK,0.2,-0.29,-0.09,2021-22,0.17,-0.32,-0.15,1298,Regular Season
201980,Danny Green,PHI,-0.63,0.53,-0.1,2021-22,-0.63,0.56,-0.07,2765,Regular Season
1630570,Trendon Watford,POR,-0.14,0.04,-0.1,2021-22,-0.17,0.06,-0.11,1842,Regular Season
1629308,Juan Toscano-Anderson,GSW,-0.53,0.43,-0.1,2021-22,-0.55,0.42,-0.13,2028,Regular Season
202691,Klay Thompson,GSW,0.6,-0.7,-0.1,2021-22,0.57,-0.73,-0.16,1981,Regular Season
1628384,OG Anunoby,TOR,-0.11,-0.0,-0.11,2021-22,-0.13,0.01,-0.12,3496,Regular Season
1629642,Nassir Little,POR,-0.35,0.24,-0.11,2021-22,-0.33,0.27,-0.06,2230,Regular Season
1627742,Brandon Ingram,NOP,0.32,-0.44,-0.12,2021-22,0.33,-0.48,-0.15,3826,Regular Season
1629755,Hassani Gravett,ORL,-0.17,0.04,-0.13,2021-22,-0.14,-0.01,-0.15,334,Regular Season
203924,Jerami Grant,DET,-0.02,-0.11,-0.13,2021-22,-0.03,-0.07,-0.1,3068,Regular Season
1626196,Josh Richardson,SAS,-0.1,-0.04,-0.14,2021-22,-0.12,-0.01,-0.13,3280,Regular Season
1629731,Dean Wade,CLE,-0.16,0.02,-0.14,2021-22,-0.16,0.04,-0.12,1974,Regular Season
203952,Andrew Wiggins,GSW,-0.02,-0.12,-0.14,2021-22,-0.03,-0.1,-0.13,4862,Regular Season
1629611,Terance Mann,LAC,-0.04,-0.11,-0.15,2021-22,-0.03,-0.11,-0.14,4766,Regular Season
203087,Jeremy Lamb,SAC,-0.43,0.28,-0.15,2021-22,-0.4,0.31,-0.09,1948,Regular Season
1626169,Stanley Johnson,LAL,-0.36,0.19,-0.17,2021-22,-0.37,0.23,-0.14,2288,Regular Season
1628467,Maxi Kleber,DAL,-0.81,0.63,-0.18,2021-22,-0.75,0.64,-0.11,2902,Regular Season
1630559,Austin Reaves,LAL,-0.21,0.02,-0.19,2021-22,-0.17,0.05,-0.12,2987,Regular Season
1626220,Royce O'Neale,UTA,-0.45,0.26,-0.19,2021-22,-0.44,0.26,-0.18,4946,Regular Season
1629658,Jaylen Hoard,OKC,0.03,-0.22,-0.19,2021-22,0.0,-0.21,-0.21,488,Regular Season
201572,Brook Lopez,MIL,-0.2,-0.0,-0.2,2021-22,-0.24,0.03,-0.21,630,Regular Season
1628984,Devonte' Graham,NOP,0.14,-0.34,-0.2,2021-22,0.16,-0.35,-0.19,4428,Regular Season
203501,Tim Hardaway Jr.,DAL,-0.08,-0.12,-0.2,2021-22,-0.06,-0.11,-0.17,2511,Regular Season
1630530,Trey Murphy III,NOP,0.11,-0.31,-0.2,2021-22,0.1,-0.28,-0.18,1786,Regular Season
203473,Dewayne Dedmon,MIA,-0.5,0.29,-0.21,2021-22,-0.51,0.27,-0.24,2164,Regular Season
203524,Solomon Hill,ATL,-0.8,0.58,-0.22,2021-22,-0.79,0.72,-0.07,277,Regular Season
1626147,Justin Anderson,IND,-0.35,0.13,-0.22,2021-22,-0.31,0.15,-0.16,654,Regular Season
1628368,De'Aaron Fox,SAC,0.15,-0.38,-0.23,2021-22,0.13,-0.39,-0.26,4449,Regular Season
1628380,Zach Collins,SAS,-0.34,0.11,-0.23,2021-22,-0.34,0.09,-0.25,1080,Regular Season
1629130,Duncan Robinson,MIA,0.25,-0.48,-0.23,2021-22,0.25,-0.49,-0.24,4098,Regular Season
1630587,Isaiah Livers,DET,-0.18,-0.05,-0.23,2021-22,-0.2,-0.05,-0.25,786,Regular Season
