TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,SEASON_TYPE
1610612740,NOP,New Orleans Pelicans,2021-10-22,NOP @ CHI,L,112,42,26,7,5,17,0.483,0.517,0.813,-16,Regular Season
1610612741,CHI,Chicago Bulls,2021-10-22,CHI vs. NOP,W,128,46,32,9,7,14,0.528,0.5,0.8,16,Regular Season
1610612743,DEN,Denver Nuggets,2021-10-22,DEN vs. SAS,W,102,41,26,10,2,21,0.512,0.3,0.625,6,Regular Season
1610612745,HOU,Houston Rockets,2021-10-22,HOU vs. OKC,W,124,54,29,12,10,17,0.505,0.447,0.786,33,Regular Season
1610612747,LAL,Los Angeles Lakers,2021-10-22,LAL vs. PHX,L,105,46,25,7,3,16,0.395,0.441,0.759,-10,Regular Season
1610612751,BKN,Brooklyn Nets,2021-10-22,BKN @ PHI,W,114,47,26,6,6,13,0.466,0.316,0.833,5,Regular Season
1610612752,NYK,New York Knicks,2021-10-22,NYK @ ORL,W,121,38,34,10,4,11,0.5,0.444,0.529,25,Regular Season
1610612753,ORL,Orlando Magic,2021-10-22,ORL vs. NYK,L,96,46,24,5,3,19,0.398,0.395,0.867,-25,Regular Season
1610612754,IND,Indiana Pacers,2021-10-22,IND @ WAS,L,134,42,28,5,6,12,0.536,0.441,0.75,-1,Regular Season
1610612755,PHI,Philadelphia 76ers,2021-10-22,PHI vs. BKN,L,109,35,17,8,9,10,0.473,0.389,0.818,-5,Regular Season
1610612756,PHX,Phoenix Suns,2021-10-22,PHX @ LAL,W,115,47,31,8,2,12,0.488,0.313,0.75,10,Regular Season
1610612758,SAC,Sacramento Kings,2021-10-22,SAC vs. UTA,L,101,52,20,15,5,15,0.394,0.222,0.714,-9,Regular Season
1610612759,SAS,San Antonio Spurs,2021-10-22,SAS @ DEN,L,96,39,24,11,2,20,0.476,0.25,0.714,-6,Regular Season
1610612760,OKC,Oklahoma City Thunder,2021-10-22,OKC @ HOU,L,91,39,22,9,4,19,0.374,0.326,0.563,-33,Regular Season
1610612761,TOR,Toronto Raptors,2021-10-22,TOR @ BOS,W,115,60,22,16,2,12,0.42,0.286,1.0,32,Regular Season
1610612762,UTA,Utah Jazz,2021-10-22,UTA @ SAC,W,110,51,16,14,3,19,0.411,0.381,0.87,9,Regular Season
1610612764,WAS,Washington Wizards,2021-10-22,WAS vs. IND,W,135,38,24,5,6,9,0.521,0.5,0.947,1,Regular Season
1610612766,CHA,Charlotte Hornets,2021-10-22,CHA @ CLE,W,123,46,32,13,1,18,0.527,0.406,0.824,11,Regular Season
1610612737,ATL,Atlanta Hawks,2021-10-23,ATL @ CLE,L,95,54,20,5,3,9,0.384,0.294,0.6,-6,Regular Season
1610612739,CLE,Cleveland Cavaliers,2021-10-23,CLE vs. ATL,W,101,54,23,6,6,10,0.416,0.25,0.741,6,Regular Season
1610612740,NOP,New Orleans Pelicans,2021-10-23,NOP @ MIN,L,89,61,15,10,5,30,0.348,0.225,0.783,-7,Regular Season
1610612741,CHI,Chicago Bulls,2021-10-23,CHI vs. DET,W,97,42,24,13,11,13,0.417,0.423,0.842,15,Regular Season
1610612742,DAL,Dallas Mavericks,2021-10-23,DAL @ TOR,W,103,50,24,6,6,9,0.418,0.333,0.722,8,Regular Season
1610612746,LAC,LA Clippers,2021-10-23,LAC vs. MEM,L,114,44,23,7,4,7,0.434,0.333,0.882,-6,Regular Season
1610612748,MIA,Miami Heat,2021-10-23,MIA @ IND,L,91,55,18,4,2,22,0.385,0.273,0.857,-11,Regular Season
1610612749,MIL,Milwaukee Bucks,2021-10-23,MIL @ SAS,W,121,44,21,6,5,22,0.53,0.429,0.818,10,Regular Season
1610612750,MIN,Minnesota Timberwolves,2021-10-23,MIN vs. NOP,W,96,47,22,13,8,20,0.406,0.316,0.6,7,Regular Season
1610612754,IND,Indiana Pacers,2021-10-23,IND vs. MIA,W,102,55,18,10,5,16,0.392,0.256,0.762,11,Regular Season
1610612756,PHX,Phoenix Suns,2021-10-23,PHX @ POR,L,105,38,27,6,1,14,0.483,0.321,0.667,-29,Regular Season
1610612757,POR,Portland Trail Blazers,2021-10-23,POR vs. PHX,W,134,48,24,8,5,9,0.543,0.42,0.647,29,Regular Season
1610612759,SAS,San Antonio Spurs,2021-10-23,SAS vs. MIL,L,111,38,29,10,4,13,0.485,0.256,0.833,-10,Regular Season
1610612761,TOR,Toronto Raptors,2021-10-23,TOR vs. DAL,L,95,49,17,7,6,12,0.4,0.297,0.696,-8,Regular Season
1610612763,MEM,Memphis Grizzlies,2021-10-23,MEM @ LAC,W,120,48,26,5,3,11,0.467,0.417,0.84,6,Regular Season
1610612765,DET,Detroit Pistons,2021-10-23,DET @ CHI,L,82,53,14,9,8,23,0.386,0.179,0.6,-15,Regular Season
1610612738,BOS,Boston Celtics,2021-10-24,BOS @ HOU,W,107,43,22,10,6,12,0.442,0.319,0.8,10,Regular Season
1610612744,GSW,Golden State Warriors,2021-10-24,GSW @ SAC,W,119,43,26,12,3,7,0.443,0.351,0.833,12,Regular Season
1610612745,HOU,Houston Rockets,2021-10-24,HOU vs. BOS,L,97,40,20,7,4,20,0.427,0.438,0.792,-10,Regular Season
1610612747,LAL,Los Angeles Lakers,2021-10-24,LAL vs. MEM,W,121,36,29,10,12,17,0.536,0.533,0.682,3,Regular Season
1610612751,BKN,Brooklyn Nets,2021-10-24,BKN vs. CHA,L,95,44,18,10,8,17,0.437,0.257,0.833,-16,Regular Season
1610612752,NYK,New York Knicks,2021-10-24,NYK vs. ORL,L,104,52,20,8,8,12,0.37,0.271,0.68,-6,Regular Season
1610612753,ORL,Orlando Magic,2021-10-24,ORL @ NYK,W,110,57,22,7,4,13,0.409,0.279,0.765,6,Regular Season
1610612755,PHI,Philadelphia 76ers,2021-10-24,PHI @ OKC,W,115,47,25,4,9,12,0.466,0.415,0.8,12,Regular Season
1610612758,SAC,Sacramento Kings,2021-10-24,SAC vs. GSW,L,107,47,26,0,4,19,0.488,0.326,0.615,-12,Regular Season
1610612760,OKC,Oklahoma City Thunder,2021-10-24,OKC vs. PHI,L,103,42,24,9,4,11,0.476,0.258,0.789,-12,Regular Season
1610612763,MEM,Memphis Grizzlies,2021-10-24,MEM @ LAL,L,118,49,25,13,4,17,0.45,0.371,0.833,-3,Regular Season
1610612766,CHA,Charlotte Hornets,2021-10-24,CHA @ BKN,W,111,48,26,10,5,12,0.457,0.333,0.789,16,Regular Season
1610612737,ATL,Atlanta Hawks,2021-10-25,ATL vs. DET,W,122,49,24,11,3,16,0.511,0.375,0.857,18,Regular Season
1610612738,BOS,Boston Celtics,2021-10-25,BOS @ CHA,W,140,53,33,8,9,12,0.495,0.38,0.84,11,Regular Season
1610612739,CLE,Cleveland Cavaliers,2021-10-25,CLE @ DEN,W,99,49,26,8,5,16,0.463,0.28,0.8,12,Regular Season
1610612740,NOP,New Orleans Pelicans,2021-10-25,NOP @ MIN,W,107,60,19,5,5,20,0.448,0.333,0.826,9,Regular Season
1610612741,CHI,Chicago Bulls,2021-10-25,CHI @ TOR,W,111,29,24,11,3,13,0.481,0.444,0.955,3,Regular Season
1610612743,DEN,Denver Nuggets,2021-10-25,DEN vs. CLE,L,87,47,21,10,3,22,0.407,0.237,0.667,-12,Regular Season
1610612746,LAC,LA Clippers,2021-10-25,LAC vs. POR,W,116,43,37,21,6,17,0.473,0.326,0.737,30,Regular Season
1610612748,MIA,Miami Heat,2021-10-25,MIA vs. ORL,W,107,42,28,10,2,11,0.471,0.222,1.0,17,Regular Season
1610612749,MIL,Milwaukee Bucks,2021-10-25,MIL @ IND,W,119,42,24,13,6,14,0.482,0.344,0.839,10,Regular Season
1610612750,MIN,Minnesota Timberwolves,2021-10-25,MIN vs. NOP,L,98,41,20,10,7,11,0.344,0.3,0.778,-9,Regular Season
1610612751,BKN,Brooklyn Nets,2021-10-25,BKN vs. WAS,W,104,54,23,6,4,9,0.426,0.286,0.824,14,Regular Season
1610612753,ORL,Orlando Magic,2021-10-25,ORL @ MIA,L,90,39,21,7,6,18,0.407,0.273,0.632,-17,Regular Season
1610612754,IND,Indiana Pacers,2021-10-25,IND vs. MIL,L,109,47,23,6,1,19,0.444,0.389,0.882,-10,Regular Season
1610612757,POR,Portland Trail Blazers,2021-10-25,POR @ LAC,L,86,47,15,11,4,30,0.376,0.216,0.778,-30,Regular Season
1610612761,TOR,Toronto Raptors,2021-10-25,TOR vs. CHI,L,108,47,27,8,1,21,0.482,0.4,0.8,-3,Regular Season
1610612764,WAS,Washington Wizards,2021-10-25,WAS @ BKN,L,90,53,16,5,5,12,0.347,0.231,0.75,-14,Regular Season
1610612765,DET,Detroit Pistons,2021-10-25,DET @ ATL,L,104,36,26,7,6,14,0.44,0.273,0.833,-18,Regular Season
1610612766,CHA,Charlotte Hornets,2021-10-25,CHA vs. BOS,L,129,52,26,4,6,14,0.447,0.432,0.643,-11,Regular Season
1610612742,DAL,Dallas Mavericks,2021-10-26,DAL vs. HOU,W,116,50,25,9,7,15,0.462,0.279,0.72,10,Regular Season
1610612743,DEN,Denver Nuggets,2021-10-26,DEN @ UTA,L,110,35,19,9,3,13,0.506,0.357,0.667,-12,Regular Season
1610612744,GSW,Golden State Warriors,2021-10-26,GSW @ OKC,W,106,46,30,9,8,15,0.47,0.35,0.778,8,Regular Season
1610612745,HOU,Houston Rockets,2021-10-26,HOU @ DAL,L,106,49,24,7,3,17,0.419,0.41,0.692,-10,Regular Season
1610612747,LAL,Los Angeles Lakers,2021-10-26,LAL @ SAS,W,125,56,20,8,10,13,0.476,0.267,0.773,4,Regular Season
1610612752,NYK,New York Knicks,2021-10-26,NYK vs. PHI,W,112,45,24,7,5,15,0.471,0.432,0.933,13,Regular Season
1610612755,PHI,Philadelphia 76ers,2021-10-26,PHI @ NYK,L,99,40,24,9,4,15,0.439,0.293,0.882,-13,Regular Season
1610612759,SAS,San Antonio Spurs,2021-10-26,SAS vs. LAL,L,121,59,33,10,6,16,0.444,0.361,0.545,-4,Regular Season
1610612760,OKC,Oklahoma City Thunder,2021-10-26,OKC vs. GSW,L,98,42,19,7,3,14,0.419,0.353,0.824,-8,Regular Season
1610612762,UTA,Utah Jazz,2021-10-26,UTA vs. DEN,W,122,41,20,5,6,14,0.518,0.308,0.759,12,Regular Season
1610612737,ATL,Atlanta Hawks,2021-10-27,ATL @ NOP,W,102,55,21,4,4,11,0.417,0.267,0.824,3,Regular Season
1610612738,BOS,Boston Celtics,2021-10-27,BOS vs. WAS,L,107,37,18,9,5,13,0.435,0.345,0.821,-9,Regular Season
1610612739,CLE,Cleveland Cavaliers,2021-10-27,CLE @ LAC,W,92,57,12,9,3,21,0.407,0.15,0.852,13,Regular Season
1610612740,NOP,New Orleans Pelicans,2021-10-27,NOP vs. ATL,L,99,44,24,5,6,10,0.43,0.306,0.889,-3,Regular Season
1610612746,LAC,LA Clippers,2021-10-27,LAC vs. CLE,L,79,36,19,13,2,14,0.356,0.22,0.615,-13,Regular Season
1610612747,LAL,Los Angeles Lakers,2021-10-27,LAL @ OKC,L,115,40,29,8,2,17,0.5,0.314,0.857,-8,Regular Season
1610612748,MIA,Miami Heat,2021-10-27,MIA @ BKN,W,106,62,21,6,2,15,0.396,0.276,0.846,13,Regular Season
1610612749,MIL,Milwaukee Bucks,2021-10-27,MIL vs. MIN,L,108,43,22,10,3,9,0.411,0.275,0.762,-5,Regular Season
1610612750,MIN,Minnesota Timberwolves,2021-10-27,MIN @ MIL,W,113,49,29,5,4,17,0.473,0.289,0.824,5,Regular Season
1610612751,BKN,Brooklyn Nets,2021-10-27,BKN vs. MIA,L,93,42,21,7,7,16,0.388,0.326,0.929,-13,Regular Season
1610612753,ORL,Orlando Magic,2021-10-27,ORL vs. CHA,L,111,33,22,6,2,19,0.489,0.375,0.769,-9,Regular Season
1610612754,IND,Indiana Pacers,2021-10-27,IND @ TOR,L,100,40,19,6,7,23,0.481,0.345,0.824,-18,Regular Season
1610612756,PHX,Phoenix Suns,2021-10-27,PHX vs. SAC,L,107,56,23,6,6,11,0.452,0.273,0.708,-3,Regular Season
1610612757,POR,Portland Trail Blazers,2021-10-27,POR vs. MEM,W,116,48,22,11,6,14,0.464,0.417,0.742,20,Regular Season
1610612758,SAC,Sacramento Kings,2021-10-27,SAC @ PHX,W,110,40,28,7,6,12,0.442,0.395,0.733,3,Regular Season
1610612760,OKC,Oklahoma City Thunder,2021-10-27,OKC vs. LAL,W,123,42,21,8,3,16,0.5,0.405,0.759,8,Regular Season
1610612761,TOR,Toronto Raptors,2021-10-27,TOR vs. IND,W,118,41,22,18,6,12,0.46,0.467,0.632,18,Regular Season
1610612763,MEM,Memphis Grizzlies,2021-10-27,MEM @ POR,L,96,50,27,9,3,22,0.365,0.34,0.474,-20,Regular Season
1610612764,WAS,Washington Wizards,2021-10-27,WAS @ BOS,W,116,47,18,8,7,16,0.512,0.36,0.724,9,Regular Season
1610612766,CHA,Charlotte Hornets,2021-10-27,CHA @ ORL,W,120,40,22,14,4,17,0.518,0.467,0.833,9,Regular Season
1610612737,ATL,Atlanta Hawks,2021-10-28,ATL @ WAS,L,111,43,26,4,3,13,0.545,0.286,0.643,-11,Regular Season
1610612741,CHI,Chicago Bulls,2021-10-28,CHI vs. NYK,L,103,37,25,6,5,7,0.429,0.344,0.909,-1,Regular Season
1610612742,DAL,Dallas Mavericks,2021-10-28,DAL vs. SAS,W,104,45,18,4,7,13,0.461,0.4,0.308,5,Regular Season
1610612744,GSW,Golden State Warriors,2021-10-28,GSW vs. MEM,L,101,48,29,8,7,23,0.433,0.35,0.75,-3,Regular Season
1610612745,HOU,Houston Rockets,2021-10-28,HOU vs. UTA,L,91,41,15,8,3,11,0.326,0.205,0.87,-31,Regular Season
1610612752,NYK,New York Knicks,2021-10-28,NYK @ CHI,W,104,49,16,5,7,13,0.459,0.379,0.75,1,Regular Season
1610612755,PHI,Philadelphia 76ers,2021-10-28,PHI vs. DET,W,110,46,22,7,9,21,0.5,0.444,0.917,8,Regular Season
1610612759,SAS,San Antonio Spurs,2021-10-28,SAS @ DAL,L,99,48,21,6,11,15,0.443,0.4,0.6,-5,Regular Season
1610612762,UTA,Utah Jazz,2021-10-28,UTA @ HOU,W,122,58,24,8,4,20,0.482,0.348,0.8,31,Regular Season
1610612763,MEM,Memphis Grizzlies,2021-10-28,MEM @ GSW,W,104,51,25,17,9,18,0.402,0.25,1.0,3,Regular Season
1610612764,WAS,Washington Wizards,2021-10-28,WAS vs. ATL,W,122,51,26,6,4,9,0.465,0.382,0.81,11,Regular Season
1610612765,DET,Detroit Pistons,2021-10-28,DET @ PHI,L,102,37,22,11,4,14,0.407,0.333,0.704,-8,Regular Season
1610612739,CLE,Cleveland Cavaliers,2021-10-29,CLE @ LAL,L,101,36,28,10,1,15,0.425,0.353,0.682,-12,Regular Season
1610612740,NOP,New Orleans Pelicans,2021-10-29,NOP vs. SAC,L,109,49,18,9,6,10,0.429,0.265,0.64,-4,Regular Season
1610612742,DAL,Dallas Mavericks,2021-10-29,DAL @ DEN,L,75,36,14,8,3,15,0.295,0.216,0.778,-31,Regular Season
1610612743,DEN,Denver Nuggets,2021-10-29,DEN vs. DAL,W,106,51,28,8,3,20,0.518,0.306,0.692,31,Regular Season
1610612746,LAC,LA Clippers,2021-10-29,LAC @ POR,L,92,43,17,7,5,13,0.391,0.357,0.563,-19,Regular Season
1610612747,LAL,Los Angeles Lakers,2021-10-29,LAL vs. CLE,W,113,42,24,9,6,22,0.548,0.444,0.9,12,Regular Season
1610612748,MIA,Miami Heat,2021-10-29,MIA vs. CHA,W,114,60,23,6,3,18,0.473,0.257,1.0,15,Regular Season
1610612751,BKN,Brooklyn Nets,2021-10-29,BKN vs. IND,W,105,50,20,9,6,18,0.447,0.231,0.756,7,Regular Season
1610612753,ORL,Orlando Magic,2021-10-29,ORL @ TOR,L,109,46,24,1,5,17,0.471,0.471,0.688,-1,Regular Season
1610612754,IND,Indiana Pacers,2021-10-29,IND @ BKN,L,98,46,20,9,7,14,0.398,0.276,0.696,-7,Regular Season
1610612757,POR,Portland Trail Blazers,2021-10-29,POR vs. LAC,W,111,63,21,8,6,14,0.418,0.463,0.625,19,Regular Season
1610612758,SAC,Sacramento Kings,2021-10-29,SAC @ NOP,W,113,45,19,4,5,14,0.5,0.333,0.96,4,Regular Season
1610612761,TOR,Toronto Raptors,2021-10-29,TOR vs. ORL,W,110,40,18,11,2,8,0.5,0.3,0.682,1,Regular Season
1610612766,CHA,Charlotte Hornets,2021-10-29,CHA @ MIA,L,99,37,21,8,6,11,0.389,0.351,0.727,-15,Regular Season
1610612737,ATL,Atlanta Hawks,2021-10-30,ATL @ PHI,L,94,49,24,6,1,19,0.379,0.364,0.737,-28,Regular Season
1610612738,BOS,Boston Celtics,2021-10-30,BOS @ WAS,L,112,54,23,8,10,12,0.411,0.077,0.88,-3,Regular Season
1610612739,CLE,Cleveland Cavaliers,2021-10-30,CLE @ PHX,L,92,47,21,8,3,19,0.396,0.318,0.857,-9,Regular Season
1610612740,NOP,New Orleans Pelicans,2021-10-30,NOP vs. NYK,L,117,43,30,7,3,12,0.457,0.333,0.917,-6,Regular Season
1610612741,CHI,Chicago Bulls,2021-10-30,CHI vs. UTA,W,107,45,16,8,5,9,0.429,0.238,0.8,8,Regular Season
1610612743,DEN,Denver Nuggets,2021-10-30,DEN @ MIN,W,93,48,24,11,10,18,0.409,0.243,0.75,2,Regular Season
1610612744,GSW,Golden State Warriors,2021-10-30,GSW vs. OKC,W,103,56,30,9,8,16,0.424,0.389,0.5,21,Regular Season
1610612748,MIA,Miami Heat,2021-10-30,MIA @ MEM,W,129,50,31,12,2,18,0.523,0.568,0.842,26,Regular Season
1610612749,MIL,Milwaukee Bucks,2021-10-30,MIL vs. SAS,L,93,52,20,6,2,21,0.404,0.256,0.688,-9,Regular Season
1610612750,MIN,Minnesota Timberwolves,2021-10-30,MIN vs. DEN,L,91,46,21,8,6,20,0.393,0.317,0.889,-2,Regular Season
1610612752,NYK,New York Knicks,2021-10-30,NYK @ NOP,W,123,37,22,7,4,12,0.519,0.576,0.8,6,Regular Season
1610612753,ORL,Orlando Magic,2021-10-30,ORL @ DET,L,103,46,21,5,6,18,0.437,0.5,0.733,-7,Regular Season
1610612754,IND,Indiana Pacers,2021-10-30,IND vs. TOR,L,94,40,25,8,10,20,0.432,0.302,0.688,-3,Regular Season
1610612755,PHI,Philadelphia 76ers,2021-10-30,PHI vs. ATL,W,122,37,24,11,6,12,0.535,0.316,0.947,28,Regular Season
1610612756,PHX,Phoenix Suns,2021-10-30,PHX vs. CLE,W,101,52,27,12,3,15,0.464,0.231,0.63,9,Regular Season
1610612759,SAS,San Antonio Spurs,2021-10-30,SAS @ MIL,W,102,49,28,12,3,10,0.411,0.226,0.708,9,Regular Season
1610612760,OKC,Oklahoma City Thunder,2021-10-30,OKC @ GSW,L,82,45,14,8,6,16,0.349,0.205,0.762,-21,Regular Season
1610612761,TOR,Toronto Raptors,2021-10-30,TOR @ IND,W,97,48,18,8,4,18,0.424,0.344,0.667,3,Regular Season
1610612762,UTA,Utah Jazz,2021-10-30,UTA @ CHI,L,99,54,15,5,7,20,0.38,0.289,0.947,-8,Regular Season
1610612763,MEM,Memphis Grizzlies,2021-10-30,MEM vs. MIA,L,103,32,26,14,7,14,0.386,0.32,0.905,-26,Regular Season
1610612764,WAS,Washington Wizards,2021-10-30,WAS vs. BOS,W,115,62,19,6,7,13,0.365,0.278,0.806,3,Regular Season
1610612765,DET,Detroit Pistons,2021-10-30,DET vs. ORL,W,110,48,26,12,6,16,0.404,0.326,0.8,7,Regular Season
1610612742,DAL,Dallas Mavericks,2021-10-31,DAL vs. SAC,W,105,45,24,8,4,10,0.444,0.324,0.65,6,Regular Season
1610612745,HOU,Houston Rockets,2021-10-31,HOU @ LAL,L,85,55,18,8,3,27,0.421,0.214,0.517,-10,Regular Season
1610612747,LAL,Los Angeles Lakers,2021-10-31,LAL vs. HOU,W,95,43,22,15,9,14,0.406,0.29,0.615,10,Regular Season
1610612749,MIL,Milwaukee Bucks,2021-10-31,MIL vs. UTA,L,95,44,16,7,3,11,0.406,0.293,0.833,-12,Regular Season
1610612751,BKN,Brooklyn Nets,2021-10-31,BKN vs. DET,W,117,41,30,7,2,20,0.653,0.52,0.625,26,Regular Season
1610612757,POR,Portland Trail Blazers,2021-10-31,POR @ CHA,L,113,47,30,4,5,12,0.443,0.315,0.909,-12,Regular Season
1610612758,SAC,Sacramento Kings,2021-10-31,SAC @ DAL,L,99,56,20,6,3,13,0.396,0.194,0.8,-6,Regular Season
1610612762,UTA,Utah Jazz,2021-10-31,UTA @ MIL,W,107,44,13,6,10,13,0.467,0.324,0.926,12,Regular Season
1610612765,DET,Detroit Pistons,2021-10-31,DET @ BKN,L,91,29,21,12,3,15,0.405,0.364,0.682,-26,Regular Season
1610612766,CHA,Charlotte Hornets,2021-10-31,CHA vs. POR,W,125,44,36,4,6,9,0.517,0.476,0.619,12,Regular Season
1610612737,ATL,Atlanta Hawks,2021-11-01,ATL vs. WAS,W,118,47,24,9,5,11,0.458,0.382,1.0,7,Regular Season
1610612738,BOS,Boston Celtics,2021-11-01,BOS vs. CHI,L,114,38,20,10,1,9,0.438,0.455,0.75,-14,Regular Season
1610612739,CLE,Cleveland Cavaliers,2021-11-01,CLE @ CHA,W,113,49,21,12,7,16,0.433,0.321,0.684,3,Regular Season
1610612741,CHI,Chicago Bulls,2021-11-01,CHI @ BOS,W,128,50,30,7,8,18,0.57,0.419,0.944,14,Regular Season
1610612743,DEN,Denver Nuggets,2021-11-01,DEN @ MEM,L,97,40,27,8,8,12,0.443,0.237,0.667,-9,Regular Season
1610612746,LAC,LA Clippers,2021-11-01,LAC vs. OKC,W,99,51,18,8,5,14,0.38,0.357,0.737,5,Regular Season
1610612750,MIN,Minnesota Timberwolves,2021-11-01,MIN vs. ORL,L,97,47,21,8,1,14,0.371,0.275,0.579,-18,Regular Season
1610612752,NYK,New York Knicks,2021-11-01,NYK vs. TOR,L,104,41,20,3,4,17,0.461,0.421,0.75,-9,Regular Season
1610612753,ORL,Orlando Magic,2021-11-01,ORL @ MIN,W,115,51,21,5,7,16,0.451,0.395,0.8,18,Regular Season
1610612754,IND,Indiana Pacers,2021-11-01,IND vs. SAS,W,131,39,37,11,4,16,0.571,0.474,0.75,13,Regular Season
1610612755,PHI,Philadelphia 76ers,2021-11-01,PHI vs. POR,W,113,34,34,11,6,11,0.518,0.361,0.875,10,Regular Season
1610612757,POR,Portland Trail Blazers,2021-11-01,POR @ PHI,L,103,45,21,5,2,15,0.476,0.353,0.611,-10,Regular Season
1610612759,SAS,San Antonio Spurs,2021-11-01,SAS @ IND,L,118,36,34,6,4,17,0.528,0.5,0.714,-13,Regular Season
