PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_TYPE
1629216,Gabe Vincent,1610612747,LAL,29.0,28,543.0,67,31,36,38,2,14,35,4,4,8,0.5,0.5,0,6,6,1,6,0.0,1.0,1.0,0.167,Regular Season
202066,Garrett Temple,1610612761,TOR,39.0,8,27.0,7,3,4,4,0,2,4,1,0,1,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1629726,Garrison Mathews,1610612754,IND,29.0,12,180.0,20,11,9,11,4,1,2,0,0,0,0.0,0.0,0,2,2,0,2,0.0,1.0,1.0,0.0,Regular Season
203914,Gary Harris,1610612749,MIL,31.0,30,480.0,47,17,30,48,0,7,14,4,3,7,0.571,0.429,0,4,4,1,4,0.0,1.0,1.0,0.25,Regular Season
1627780,Gary Payton II,1610612744,GSW,33.0,43,550.0,78,46,32,57,0,25,67,14,5,19,0.737,0.263,3,4,7,6,7,0.429,0.571,1.0,0.857,Regular Season
1629018,Gary Trent Jr.,1610612749,MIL,27.0,39,977.0,44,18,26,70,0,0,0,8,5,13,0.615,0.385,1,6,7,2,7,0.143,0.857,1.0,0.286,Regular Season
203507,Giannis Antetokounmpo,1610612749,MIL,31.0,30,876.0,120,72,48,56,0,53,123,16,3,19,0.842,0.158,12,23,35,32,35,0.343,0.657,1.0,0.914,Regular Season
1629048,Goga Bitadze,1610612753,ORL,26.0,41,666.0,206,148,58,59,1,77,175,4,5,9,0.444,0.556,24,37,61,35,61,0.393,0.607,1.0,0.574,Regular Season
1641711,Gradey Dick,1610612761,TOR,22.0,50,821.0,45,22,23,93,2,5,11,15,8,23,0.652,0.348,2,9,11,6,11,0.182,0.818,1.0,0.545,Regular Season
1629684,Grant Williams,1610612766,CHA,27.0,9,157.0,31,17,14,9,0,4,9,2,0,2,1.0,0.0,1,8,9,5,9,0.111,0.889,1.0,0.556,Regular Season
1628960,Grayson Allen,1610612756,PHX,30.0,32,979.0,108,54,54,81,0,4,10,5,13,18,0.278,0.722,0,7,7,0,7,0.0,1.0,1.0,0.0,Regular Season
1627824,Guerschon Yabusele,1610612752,NYK,30.0,35,329.0,48,31,17,19,1,16,39,3,1,4,0.75,0.25,3,12,15,7,15,0.2,0.8,1.0,0.467,Regular Season
1630611,Gui Santos,1610612744,GSW,23.0,35,481.0,110,75,35,47,1,6,15,7,4,11,0.636,0.364,5,12,17,12,17,0.294,0.706,1.0,0.706,Regular Season
203084,Harrison Barnes,1610612759,SAS,33.0,49,1372.0,183,99,84,62,2,36,81,14,9,23,0.609,0.391,4,30,34,20,34,0.118,0.882,1.0,0.588,Regular Season
1631127,Harrison Ingram,1610612759,SAS,23.0,1,4.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1630529,Herbert Jones,1610612740,NOP,27.0,28,791.0,104,46,58,92,2,12,29,8,8,16,0.5,0.5,1,20,21,5,21,0.048,0.952,1.0,0.238,Regular Season
1642864,Hugo González,1610612738,BOS,19.0,42,671.0,107,67,40,50,2,20,46,9,8,17,0.529,0.471,3,5,8,3,8,0.375,0.625,1.0,0.375,Regular Season
1630621,Hunter Dickinson,1610612740,NOP,25.0,1,5.0,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1642282,Hunter Sallis,1610612755,PHI,22.0,3,18.0,5,3,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1641816,Hunter Tyson,1610612743,DEN,25.0,12,124.0,28,12,16,9,0,2,4,1,2,3,0.333,0.667,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1630193,Immanuel Quickley,1610612761,TOR,26.0,48,1561.0,171,89,82,115,0,18,37,11,14,25,0.44,0.56,1,19,20,12,20,0.05,0.95,1.0,0.6,Regular Season
1642403,Isaac Jones,1610612765,DET,25.0,1,14.0,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
